Row;blocks;ramp inclination;Ramp length (m);Ramp length total (m);distance blocks (Km);distance blocks Ramp (Km);distance blocks Horiz (Km);Sum force blocks (GJ);Sum Vert. force blocks (GJ);Sum Horiz. force blocks (GJ);Vert. force blocks row (GJ);Horiz. force blocks row (GJ);Total force blocks row (GJ);% Decrement blocks;% increase Distance;% increase Force
0;32902;4.00;0.00;0.00;4521.629;0.000;4521.629;70198.090;0.000;70198.090;0.000;70198.090;70198.090
1;32591;4.00;10.18;10.18;4785.164;333.446;4451.718;145050.700;5697.030;139354.700;5697.030;69156.480;74852.670;99;105.83;106.63
2;32282;4.00;20.36;20.36;5042.016;659.536;4382.479;224442.200;16973.150;207479.800;11268.370;68125.080;79391.770;99;105.37;106.06
3;31974;4.00;30.53;30.53;5292.339;978.725;4313.615;308258.800;33705.840;274584.100;16708.190;67104.220;83816.700;99;104.96;105.57
4;31667;4.00;40.71;40.71;5536.160;1289.895;4246.265;396386.800;55768.040;340676.900;22038.180;66093.400;88128.720;99;104.61;105.14
5;31363;4.00;50.89;50.89;5831.258;1612.165;4219.093;489332.300;83280.910;406079.000;27533.040;65401.890;92946.270;99;105.33;105.47
6;31059;4.00;61.07;61.07;6065.273;1913.928;4151.345;586423.700;115875.100;470487.300;32674.160;64408.380;97091.130;99;104.01;104.46
7;30757;4.00;71.25;71.25;6292.928;2207.037;4085.891;687549.400;153575.600;533912.200;37693.570;63424.950;101125.200;99;103.75;104.15
8;30457;4.00;81.43;81.43;6514.270;2493.481;4020.789;792598.300;196225.200;596364.300;42601.560;62451.650;105049.200;99;103.52;103.88
9;30158;4.00;91.60;91.60;6729.322;2772.972;3956.350;901463.600;243845.300;657851.900;47372.540;61488.320;108864.400;99;103.30;103.63
10;29861;4.00;101.78;101.78;6938.209;3045.759;3892.450;1014036.000;295823.100;718386.600;52018.160;60534.680;112571.700;99;103.10;103.41
11;29564;4.00;111.96;111.96;7140.959;3312.960;3827.999;1130207.000;352048.800;777978.300;56587.480;59591.270;116172.100;99;102.92;103.20
12;29270;4.00;122.14;122.14;7416.482;3614.531;3801.952;1250878.000;414090.900;836924.400;61710.240;58946.180;120670.700;99;103.86;103.87
13;28977;4.00;132.32;132.32;7609.917;3868.614;3741.303;1374991.000;480204.600;894943.800;66107.380;58019.180;124112.300;98;102.61;102.85
14;28686;4.00;142.50;142.50;7797.331;4118.245;3679.086;1502439.000;550282.300;952045.900;70336.180;57102.130;127449.200;98;102.46;102.69
15;28395;4.00;152.67;152.67;7978.793;4361.106;3617.687;1633119.000;625153.200;1008241.000;74490.580;56194.680;130682.400;98;102.33;102.54
16;28107;4.00;162.85;162.85;8154.324;4595.599;3558.725;1766930.000;702840.100;1063537.000;78515.660;55296.920;133812.900;98;102.20;102.40
17;27820;4.00;173.03;173.03;8324.075;4824.892;3499.184;1903774.000;785088.100;1117946.000;82454.140;54408.710;136842.100;98;102.08;102.26
18;27534;4.00;183.21;183.21;8488.004;5048.184;3439.820;2043546.000;871771.800;1171477.000;86233.270;53530.230;139770.200;98;101.97;102.14
19;27250;4.00;193.39;193.39;8744.642;5330.750;3413.892;2187507.000;962067.300;1224408.000;91036.660;52929.800;143961.100;98;103.02;103.00
20;26967;4.00;203.57;203.57;8899.755;5541.254;3358.500;2334246.000;1056631.000;1276478.000;94644.230;52067.210;146738.600;98;101.77;101.93
